player_id,player_name,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,draft_year,team_conference
49,Chris Paul,Maccabi Tel Aviv,Forward,55,29.2,7.5,6.5,2012,IL
50,Patrick Ewing,Warriors,Guard,38,20.8,9.3,11.7,2015,West
51,Paul George,Maccabi Tel Aviv,Guard,38,20.5,3.7,2.8,2012,IL
52,Will Solomon,Hapoel Jerusalem,Forward,17,15.4,1.9,4.6,2002,IL
53,Bryant Dunston,Heat,Forward,67,18.2,7,1.2,2013,East
54,David Blatt (as player),Maccabi Tel Aviv,Guard,45,13.6,8.9,0.8,2012,IL
55,James Harden,Bulls,Center,45,13.2,2.7,14.2,2016,East
56,Alex Tyus,Bulls,Center,78,18.1,8.5,10.1,2016,East
57,Karl Malone,Warriors,Guard,81,28.3,7.8,9.6,2015,West
58,Kevin Durant,Celtics,Center,56,23.1,1.6,9.6,2015,East
59,Shahar Lazar,Lakers,Guard,54,6.1,0,5.6,2016,West
60,Joel Embiid,Bulls,Forward,24,6.4,1.7,10.8,2016,East
61,Shawn Dawson,Spurs,Guard,24,17.9,1.2,4.5,2012,West
62,Yotam Halperin,Celtics,Forward,57,9.6,6.3,7.7,2015,East
63,Clyde Drexler,Bulls,Forward,65,12.5,0.4,6.3,2016,East
64,Ori Cohen,Celtics,Forward,34,24.6,6.5,8.2,2015,East
65,Alonzo Mourning,Warriors,Forward,43,28.7,1.9,2.9,2015,West
66,Shawn Dawson,Celtics,Guard,14,23.7,7.3,11.8,2015,East
67,James Young,Hapoel Jerusalem,Forward,38,15.6,0.5,6.8,2002,IL
68,Joel Embiid,Warriors,Forward,58,11.3,9.8,5.6,2015,West
69,Josh Nebo,Heat,Guard,72,13.8,4.1,10.8,2013,East
70,Moses Malone,Hapoel Jerusalem,Guard,45,9.8,2.5,13.6,2002,IL
71,Jrue Holiday,Bulls,Center,16,5.5,1.9,14.2,2016,East
72,Peja Stojakovic,Hapoel Jerusalem,Forward,61,17.8,9.1,4,2002,IL
73,Desmond Bane,Spurs,Guard,20,29.8,2.9,1.6,2012,West
74,Andrea Bargnani,Heat,Center,33,13.6,7.6,7.8,2013,East
75,Scottie Barnes,Warriors,Guard,58,22.8,5.2,13.6,2015,West
76,James Young,Celtics,Forward,46,26.2,4.1,3.7,2015,East
77,Daniel Wolf,Warriors,Guard,57,18.4,6.5,5.2,2015,West
78,Dikembe Mutombo,Lakers,Center,52,10.5,8.7,4.8,2016,West
79,Chris Paul,Warriors,Forward,46,21,6.9,3.3,2015,West
80,De'Aaron Fox,Warriors,Center,58,9.2,3.8,8,2015,West
81,Scottie Barnes,Warriors,Guard,12,20.4,8.1,12.4,2015,West
82,Andrea Bargnani,Heat,Center,45,13.8,0,3.2,2013,East
83,CJ McCollum,Lakers,Center,57,8.4,8.4,10,2016,West
84,Motti Aroesti,Heat,Center,73,12.4,4.8,0.2,2013,East
85,Eylon Sasson,Celtics,Forward,46,8.4,2.2,4.9,2015,East
86,Paolo Banchero,Celtics,Guard,77,11.8,5.4,7.5,2015,East
87,Chris Paul,Maccabi Tel Aviv,Forward,35,22.7,6.3,9.9,2012,IL
88,Rudy Gobert,Spurs,Guard,50,12.9,1.1,10.5,2012,West
89,Rafi Menco,Hapoel Jerusalem,Center,51,25.5,1.8,10.6,2002,IL
90,Jimmy Butler,Spurs,Forward,30,6.8,9.1,12.3,2012,West
91,Yair Kravitz,Maccabi Tel Aviv,Center,14,9.7,5.2,3.6,2012,IL
92,Elad Levi,Bulls,Center,38,7.4,1.2,10,2016,East
93,Ori Cohen,Heat,Forward,15,29,9.2,12.8,2013,East
94,Tony Parker,Lakers,Guard,42,9.8,4.5,1.6,2016,West
95,Tim Duncan,Spurs,Guard,52,8.4,1.7,0.6,2012,West
96,Elgin Baylor,Bulls,Forward,14,27.9,5.8,12.8,2016,East
97,Andrew Wiggins,Celtics,Guard,79,29.7,4.7,11.9,2015,East
98,Goran Dragic,Warriors,Forward,79,30,1.4,7.4,2015,West
99,Ricky Rubio,Heat,Center,44,12.7,8,12.5,2013,East
100,Ben Carter,Celtics,Forward,76,16.3,2.8,10.9,2015,East
101,Joel Embiid,Bulls,Forward,11,21.4,8.3,9.7,2016,East
102,Daniel Wolf,Celtics,Guard,18,12.8,9.3,1.7,2015,East
103,Giannis Antetokounmpo,Heat,Forward,10,22.1,9.4,10.5,2013,East
104,Tim Duncan,Bulls,Guard,16,7.7,3.8,1.8,2016,East
105,Myles Turner,Maccabi Tel Aviv,Guard,74,22.9,2.8,9,2012,IL
106,Darius Thompson,Warriors,Guard,69,5.7,9.9,0.1,2015,West
107,LaMelo Ball,Celtics,Forward,18,29.8,2.7,12.9,2015,East
108,Nikola Jokic,Bulls,Forward,50,11.1,5,2.1,2016,East
109,Retin Obasohan,Hapoel Jerusalem,Center,42,10.1,3.3,0.2,2002,IL
110,Lior Carreira,Bulls,Guard,45,25.6,0.5,1.2,2016,East
111,Clyde Drexler,Celtics,Forward,67,17.6,5.3,8.1,2015,East
112,LeBron James,Lakers,Guard,75,15.6,6,5.6,2016,West
113,Meir Tapiro,Bulls,Forward,33,8.6,8.1,1.2,2016,East
114,Alex Tyus,Maccabi Tel Aviv,Center,11,27.5,4.6,15,2012,IL
115,Tim Duncan,Hapoel Jerusalem,Guard,82,23.6,8.3,0.9,2002,IL
116,Lior Eliyahu,Maccabi Tel Aviv,Guard,75,28,9.7,9.3,2012,IL
117,Tyrese Maxey,Celtics,Guard,39,19.9,2.4,8.6,2015,East
118,Guy Pnini,Hapoel Jerusalem,Guard,31,28.9,7.8,6.1,2002,IL
119,Zydrunas Ilgauskas,Lakers,Forward,61,12.8,8.4,1.5,2016,West
120,Luka Doncic,Celtics,Forward,60,27.6,0.2,12.1,2015,East
121,Scottie Barnes,Bulls,Guard,38,9.1,8.7,7.9,2016,East
122,Noam Dovrat,Celtics,Center,25,9.9,6.2,12.2,2015,East
123,Karl-Anthony Towns,Maccabi Tel Aviv,Guard,50,12.8,7.2,0.4,2012,IL
124,Liel Malchi,Heat,Center,50,23.2,1.5,2.8,2013,East
125,Danilo Gallinari,Celtics,Guard,41,6.2,2.4,4.2,2015,East
126,Scottie Barnes,Maccabi Tel Aviv,Guard,30,29.1,7.1,11.5,2012,IL
127,Roi Huber,Heat,Guard,76,18.9,7.3,2,2013,East
128,David Robinson,Hapoel Jerusalem,Center,35,20.6,3.9,14.2,2002,IL
129,Dominique Wilkins,Bulls,Center,46,27.7,6.7,14.6,2016,East
130,Bam Adebayo,Heat,Center,59,28.9,8.8,5.7,2013,East
131,Wilt Chamberlain,Heat,Center,24,7.3,9.2,13.4,2013,East
132,James Harden,Bulls,Center,80,27,9.1,8.3,2016,East
133,Shai Gilgeous-Alexander,Lakers,Guard,45,14.2,4.4,14.8,2016,West
134,Charles Barkley,Celtics,Center,33,18.1,1.7,4.1,2015,East
135,Oded Katash,Celtics,Center,72,29.7,8.8,10.1,2015,East
136,Nikola Vujcic,Bulls,Guard,63,10.4,8.9,5,2016,East
137,Chris Paul,Warriors,Forward,10,8.9,1.4,10.1,2015,West
138,Kawhi Leonard,Bulls,Guard,59,28.7,1.6,0.7,2016,East
139,Kevin Garnett,Maccabi Tel Aviv,Center,43,17.9,1.6,2.6,2012,IL
140,Larry Bird,Celtics,Forward,13,15,6.3,3.7,2015,East
141,Meir Tapiro,Celtics,Forward,51,19.2,2.1,5,2015,East
142,Dennis Schroder,Heat,Center,11,29.8,1.3,8.3,2013,East
143,Danilo Gallinari,Bulls,Guard,49,15.3,4.6,15,2016,East
144,Paul Pierce,Warriors,Forward,33,9.4,9.9,12.6,2015,West
145,Nadav Henefeld,Maccabi Tel Aviv,Forward,36,8.9,4.4,5.7,2012,IL
146,Tyler Herro,Maccabi Tel Aviv,Center,41,28.7,9.3,3.4,2012,IL
147,Keegan Murray,Lakers,Center,69,18.4,6.9,10,2016,West
148,Bennedict Mathurin,Hapoel Jerusalem,Guard,34,28.6,0.7,5.9,2002,IL
149,Richard Howell,Hapoel Jerusalem,Center,62,26.2,5.3,2.3,2002,IL
150,Amnon Avidan,Hapoel Jerusalem,Center,61,27.6,6.6,8.8,2002,IL
151,Lorenzo Brown,Celtics,Center,39,6.7,9.6,10.3,2015,East
152,Ariel Beit-Halachmi,Spurs,Guard,24,8.4,5.9,5.3,2012,West
153,Tal Brody,Heat,Forward,76,11.9,2.7,9.5,2013,East
154,Tracy McGrady,Bulls,Forward,33,14.6,2.5,3.3,2016,East
155,Yam Hanochi,Hapoel Jerusalem,Center,80,20.2,2.5,13.3,2002,IL
156,Josh Nebo,Bulls,Guard,26,14.1,6.4,4.7,2016,East
157,Elijah Bryant,Heat,Forward,13,18.4,7.5,0.5,2013,East
158,Goran Dragic,Maccabi Tel Aviv,Forward,58,28.7,1.3,7.3,2012,IL
159,Pascal Siakam,Spurs,Forward,62,13.2,5.6,3,2012,West
160,Oz Blayzer,Spurs,Guard,63,6.9,3.9,9.3,2012,West
161,Joel Embiid,Hapoel Jerusalem,Forward,58,24.2,3.8,4.4,2002,IL
162,Dirk Nowitzki,Lakers,Forward,77,13.3,8.4,6.5,2016,West
163,Dirk Nowitzki,Maccabi Tel Aviv,Forward,51,18.7,0.3,9,2012,IL
164,Yovel Zoosman,Heat,Guard,76,17,3.9,14.8,2013,East
165,Moses Malone,Maccabi Tel Aviv,Guard,15,28.4,0.1,3.6,2012,IL
166,Chris Jones,Heat,Guard,66,29.9,7.5,7.8,2013,East
167,Reggie Miller,Hapoel Jerusalem,Guard,41,12.7,9.8,0.9,2002,IL
168,Yao Ming,Spurs,Center,28,6.8,2.7,10.2,2012,West
169,Grant Hill,Celtics,Guard,58,19.1,7.2,13,2015,East
170,Andrew Wiggins,Celtics,Guard,59,7.9,7.3,9.7,2015,East
171,Klay Thompson,Maccabi Tel Aviv,Forward,25,13.9,0.5,11.7,2012,IL
172,Donovan Mitchell,Heat,Center,23,7.3,8.7,1.8,2013,East
173,Tony Parker,Lakers,Guard,49,24.8,3.7,12.3,2016,West
174,Pascal Siakam,Warriors,Forward,52,16.6,6.2,3,2015,West
175,Iftach Ziv,Warriors,Center,55,18.4,9.5,7.5,2015,West
176,Motti Aroesti,Spurs,Center,30,18.2,3.4,4.9,2012,West
177,Dikembe Mutombo,Bulls,Center,69,15.2,3.2,14.7,2016,East
178,Anthony Parker,Spurs,Forward,59,15.3,8.3,8.4,2012,West
179,Lorenzo Brown,Heat,Center,18,28.7,1.7,7,2013,East
180,LaMelo Ball,Maccabi Tel Aviv,Forward,63,16,10,9.5,2012,IL
181,Jordan Poole,Hapoel Jerusalem,Guard,73,28.5,2.6,12.3,2002,IL
182,Arvydas Sabonis,Heat,Forward,69,17.6,9.6,7.8,2013,East
183,Sharon Drucker,Warriors,Guard,41,27.9,4.1,14.2,2015,West
184,Manu Ginobili,Heat,Guard,28,6.4,4.2,3.6,2013,East
185,Gary Payton,Hapoel Jerusalem,Center,14,24.6,7,5.8,2002,IL
186,Tamir Blatt,Celtics,Forward,15,16.5,3,10.9,2015,East
187,Nimrod Levi,Celtics,Center,16,26.9,1.6,3.6,2015,East
188,LeBron James,Lakers,Guard,17,19.5,6.7,4.3,2016,West
189,CJ McCollum,Spurs,Center,65,28,4.8,10.2,2012,West
190,Jayson Tatum,Celtics,Guard,30,9.3,1.8,8.6,2015,East
191,Paul Pierce,Heat,Forward,13,11.4,4.2,14.9,2013,East
192,Ricky Rubio,Heat,Center,73,10.7,2.6,7.9,2013,East
193,Lorenzo Brown,Maccabi Tel Aviv,Center,67,21.5,9.4,10.4,2012,IL
194,Tom Maayan,Heat,Center,80,8.5,1.1,6,2013,East
195,Adam Ariel,Maccabi Tel Aviv,Guard,13,23.6,2.5,14.6,2012,IL
196,Bryant Dunston,Spurs,Forward,13,19.8,2.3,6.2,2012,West
197,Omer Sela,Warriors,Center,81,7.3,4.8,10.7,2015,West
198,Hanoch Mintz,Spurs,Forward,16,6.4,2,7.9,2012,West
199,Bam Adebayo,Spurs,Center,21,23.4,6.8,0.1,2012,West
200,Jake Cohen,Maccabi Tel Aviv,Center,69,14.2,3.5,1.6,2012,IL
201,Bryant Dunston,Celtics,Forward,56,12,9.4,14.5,2015,East
202,Andrea Bargnani,Hapoel Jerusalem,Center,64,8.3,6.2,8.9,2002,IL
203,Kyrie Irving,Bulls,Guard,55,13.1,9.6,7.8,2016,East
204,Clyde Drexler,Celtics,Forward,69,19.7,6.6,9.5,2015,East
205,Kareem Abdul-Jabbar,Celtics,Forward,63,23.9,0.2,4.7,2015,East
206,Erez Pinhasi,Warriors,Forward,65,17.6,3.6,3.9,2015,West
207,Darius Garland,Spurs,Guard,72,22.5,1.7,7.6,2012,West
208,Meir Tapiro,Bulls,Forward,69,9.4,2.7,9,2016,East
209,Dikembe Mutombo,Spurs,Center,24,12.8,5.5,8.6,2012,West
210,Amnon Avidan,Heat,Center,37,22.6,8.4,12.4,2013,East
211,Shaquille O'Neal,Hapoel Jerusalem,Guard,42,21.2,9.1,2.4,2002,IL
212,Roi Plesner,Celtics,Center,67,26.7,8.6,11.5,2015,East
213,Andrew Wiggins,Heat,Guard,49,10.3,9.3,13.4,2013,East
214,Kobe Bryant,Heat,Guard,41,25.2,2.3,4.7,2013,East
215,Will Solomon,Bulls,Forward,22,28.4,0.2,0.2,2016,East
216,Noam Shalom,Lakers,Guard,48,28.1,8.9,3.3,2016,West
217,Alonzo Mourning,Warriors,Forward,61,19.4,7.4,4.9,2015,West
218,Yam Hanochi,Heat,Center,68,21.7,5.4,8.6,2013,East
219,Andrew Bogut,Celtics,Forward,50,15,0.2,14.4,2015,East
220,Myles Turner,Celtics,Guard,51,8.7,6.2,12.8,2015,East
221,Deon Thomas,Hapoel Jerusalem,Guard,80,25.1,9.1,12.4,2002,IL
222,Tony Parker,Hapoel Jerusalem,Guard,76,24.7,4.2,10.9,2002,IL
223,Pinhas Hozez,Hapoel Jerusalem,Forward,76,12.9,5.1,10.9,2002,IL
224,Shawn Dawson,Hapoel Jerusalem,Guard,41,28.8,8.6,5,2002,IL
225,Draymond Green,Maccabi Tel Aviv,Guard,36,18.7,7.1,10.8,2012,IL
226,Jaylen Brown,Maccabi Tel Aviv,Guard,42,27.9,4.9,12.8,2012,IL
227,Idan Zalmanson,Celtics,Center,31,21.9,9.2,3.4,2015,East
228,Jalen Green,Spurs,Center,61,9.4,1.1,2.8,2012,West
229,Max Heidegger (naturalized),Warriors,Guard,48,23,7.8,0.6,2015,West
230,Liel Malchi,Warriors,Center,13,28.4,7.1,4.2,2015,West
231,Cade Cunningham,Warriors,Center,65,11.2,2.6,1.1,2015,West
232,Moses Malone,Bulls,Guard,59,10.2,1.9,6.7,2016,East
233,Serge Ibaka,Heat,Center,24,6.2,1.5,1.8,2013,East
234,Brandon Ingram,Celtics,Guard,80,27.2,2.5,13.1,2015,East
235,Myles Turner,Lakers,Guard,15,16.1,8.5,0.2,2016,West
236,James Young,Celtics,Forward,42,11.8,5.9,10.5,2015,East
237,Charles Barkley,Spurs,Center,33,28.6,9.4,9.9,2012,West
238,Yam Madar,Celtics,Center,57,10.5,0.2,14.3,2015,East
239,Elijah Bryant,Warriors,Forward,49,22.5,1.1,4.9,2015,West
240,Trae Young,Spurs,Forward,12,19,8.1,10.6,2012,West
241,Oz Blayzer,Warriors,Guard,48,25.8,8.8,1.8,2015,West
242,Scottie Barnes,Hapoel Jerusalem,Guard,12,6.4,4.9,0.3,2002,IL
243,Andrew Wiggins,Warriors,Guard,82,29.8,4.9,7.7,2015,West
244,Pau Gasol,Lakers,Guard,13,17.5,4.8,8.5,2016,West
245,Cade Cunningham,Bulls,Center,67,15.4,1.7,13,2016,East
246,Peja Stojakovic,Lakers,Forward,72,27.5,6.8,9.8,2016,West
247,Amir Uri,Celtics,Guard,56,18.9,1.4,10,2015,East
248,Kawhi Leonard,Heat,Guard,26,29,8.3,4.2,2013,East
249,Jordan Poole,Maccabi Tel Aviv,Guard,74,21.1,3.9,4.8,2012,IL
250,Stephen Curry,Heat,Guard,57,22.8,5.1,6.1,2013,East
251,Josh Nebo,Warriors,Guard,58,6.3,9.6,6.9,2015,West
252,Oz Blayzer,Heat,Guard,48,28.9,8.9,10.6,2013,East
253,Jaylen Adams,Heat,Forward,78,5.4,4.8,10.5,2013,East
254,Donovan Mitchell,Warriors,Center,36,18.7,6.6,10.8,2015,West
255,Yam Hanochi,Lakers,Center,71,6.1,9,2.4,2016,West
256,Giannis Antetokounmpo,Lakers,Forward,39,12.4,9.7,12.6,2016,West
257,Yam Hanochi,Spurs,Center,79,9,9.1,1.5,2012,West
258,Nikola Jokic,Lakers,Forward,45,6.9,7.8,4.9,2016,West
259,John DiBartolomeo (naturalized),Spurs,Guard,63,11.5,6.2,13.8,2012,West
260,Kristaps Porzingis,Bulls,Guard,81,18.7,9.2,6.9,2016,East
261,Bradley Beal,Warriors,Guard,21,24.1,9.2,7.5,2015,West
262,Peja Stojakovic,Spurs,Forward,52,18.5,0.2,4.9,2012,West
263,Mickey Berkowitz,Heat,Guard,36,29.6,5.6,13,2013,East
264,Gilad Levi,Maccabi Tel Aviv,Forward,74,28.5,4.1,6.6,2012,IL
265,Luka Doncic,Maccabi Tel Aviv,Forward,66,9.3,6.6,11.3,2012,IL
266,Gary Payton,Bulls,Center,76,11.6,2.4,0.9,2016,East
267,Lior Carreira,Hapoel Jerusalem,Guard,67,17.8,5.6,0.4,2002,IL
268,Jamal Murray,Heat,Center,25,8.4,1.1,7.4,2013,East
269,Max Heidegger (naturalized),Lakers,Guard,44,5.5,2.7,2.9,2016,West
270,Dennis Rodman,Bulls,Guard,11,12.1,3,2.3,2016,East
271,Josh Giddey,Lakers,Forward,13,13.7,8.4,3.5,2016,West
272,Hedo Turkoglu,Hapoel Jerusalem,Center,22,9,5.2,0.5,2002,IL
273,Tom Maayan,Lakers,Center,81,21.5,7.3,0.8,2016,West
274,Tal Dunne,Heat,Forward,28,24.6,4,13.3,2013,East
275,Tyler Herro,Celtics,Center,82,9.5,6,3,2015,East
276,David Robinson,Lakers,Center,54,10.2,8,5.8,2016,West
277,Tyler Herro,Warriors,Center,22,25.8,1.2,12.3,2015,West
278,Kristaps Porzingis,Heat,Guard,35,10,10,0.2,2013,East
279,Serge Ibaka,Bulls,Center,59,9.3,1,5.1,2016,East
280,Tal Dunne,Spurs,Forward,20,16.5,1.8,9.7,2012,West
281,Rudy Gobert,Heat,Guard,62,9,1.6,14.8,2013,East
282,Moses Malone,Heat,Guard,73,9.7,3.1,12,2013,East
283,Paul Pierce,Warriors,Forward,45,26.9,7.1,1.4,2015,West
284,Eidan Alber,Lakers,Guard,14,18.9,9.6,2.1,2016,West
285,Myles Turner,Bulls,Guard,25,15.9,3.4,9.5,2016,East
286,Larry Bird,Maccabi Tel Aviv,Forward,33,23.3,7.3,7.3,2012,IL
287,James Feldeine,Maccabi Tel Aviv,Forward,21,7.3,1.2,5.9,2012,IL
288,Serge Ibaka,Spurs,Center,76,13.6,3.8,4.1,2012,West
289,Richard Howell,Hapoel Jerusalem,Center,74,6.8,4.3,11.9,2002,IL
290,Grant Hill,Hapoel Jerusalem,Guard,17,25.9,3.5,6.3,2002,IL
291,Yao Ming,Maccabi Tel Aviv,Center,17,13,7.5,11.6,2012,IL
292,Brook Lopez,Celtics,Center,63,29.3,9.1,4.8,2015,East
293,Jaylen Adams,Hapoel Jerusalem,Forward,74,19.6,0.8,8.7,2002,IL
294,Giannis Antetokounmpo,Warriors,Forward,69,20.1,7.9,2.6,2015,West
295,Michael Porter Jr.,Celtics,Guard,67,12,8.7,13.9,2015,East
296,Tracy McGrady,Heat,Forward,47,23.2,9.7,9.5,2013,East
297,Joel Embiid,Warriors,Forward,27,15.6,1.5,7.2,2015,West
298,Damian Lillard,Warriors,Center,11,28.4,2,13.8,2015,West
299,John DiBartolomeo (naturalized),Warriors,Guard,59,15.2,1.3,7,2015,West
300,Jimmy Butler,Lakers,Forward,80,18.6,1.3,1.8,2016,West
301,Liel Malchi,Lakers,Center,63,19.2,8.9,13.3,2016,West
302,Sharon Drucker,Warriors,Guard,28,21.8,0.6,13.2,2015,West
303,Luka Doncic,Hapoel Jerusalem,Forward,82,24.3,4.9,8.3,2002,IL
304,Patrick Ewing,Heat,Guard,69,14.6,7.7,8,2013,East
305,Jimmy Butler,Celtics,Forward,69,18.6,6.2,7.1,2015,East
306,Gal Mekel,Warriors,Guard,79,26.9,6.4,5,2015,West
307,Mickey Berkowitz,Bulls,Guard,49,24.6,9.7,4.6,2016,East
308,Kristaps Porzingis,Warriors,Guard,72,7.2,0.4,10,2015,West
309,Amir Uri,Lakers,Guard,45,29.8,7.8,5.1,2016,West
310,Hanoch Mintz,Celtics,Forward,37,18.5,4.1,6.4,2015,East
311,Dennis Rodman,Heat,Guard,30,21.8,5.3,4.2,2013,East
312,Dwyane Wade,Spurs,Center,32,22,5.3,2.1,2012,West
313,Shai Gilgeous-Alexander,Bulls,Guard,29,15.2,8.8,9.1,2016,East
314,Yao Ming,Maccabi Tel Aviv,Center,61,8.4,5.5,10.5,2012,IL
315,Yair Kravitz,Spurs,Center,22,16.2,8.9,8.7,2012,West
316,Luka Doncic,Heat,Forward,26,20.3,6.5,14.4,2013,East
317,Jrue Holiday,Warriors,Center,19,16.7,8.6,8.8,2015,West
318,Pascal Siakam,Lakers,Forward,63,9.8,4.8,1.9,2016,West
319,Wade Baldwin IV,Lakers,Forward,12,13.6,4.2,0.6,2016,West
320,Dwyane Wade,Celtics,Center,46,16.9,9.9,2.1,2015,East
321,Brook Lopez,Lakers,Center,27,28.7,1.9,1.2,2016,West
322,George Gervin,Maccabi Tel Aviv,Guard,20,11.6,1,9.9,2012,IL
323,Myles Turner,Heat,Guard,29,21.7,0.1,2.3,2013,East
324,Yovel Zoosman,Heat,Guard,48,16.8,0.6,8.3,2013,East
325,Chet Holmgren,Lakers,Guard,80,26.9,1.4,8.7,2016,West
326,Jarell Martin,Spurs,Center,19,7,2.5,15,2012,West
327,Dennis Rodman,Bulls,Guard,54,7.5,3,11.6,2016,East
328,Roman Sorkin,Spurs,Center,38,20.8,9.4,6.3,2012,West
329,Jaylen Adams,Hapoel Jerusalem,Forward,36,26.6,8,0.4,2002,IL
330,Manu Ginobili,Heat,Guard,82,13.6,9.2,9.1,2013,East
331,Tony Parker,Spurs,Guard,56,10.7,6.3,13.3,2012,West
332,Tamir Blatt,Lakers,Forward,80,15.7,2.7,8.3,2016,West
333,Kareem Abdul-Jabbar,Spurs,Forward,36,20.8,5,3.6,2012,West
334,Rudy Fernandez,Hapoel Jerusalem,Forward,20,8.5,3.7,3.1,2002,IL
335,Motti Aroesti,Hapoel Jerusalem,Center,70,28.5,6,8.8,2002,IL
336,Oz Blayzer,Warriors,Guard,68,8.3,5,12.4,2015,West
337,Ben Carter,Bulls,Forward,30,20.6,3.9,0.5,2016,East
338,De'Aaron Fox,Spurs,Center,33,24.9,8.4,8.2,2012,West
339,Chuck Eidson,Bulls,Guard,55,5.1,0.3,7.4,2016,East
340,Charles Barkley,Warriors,Center,38,10.7,8.6,12.9,2015,West
341,Eidan Harel,Heat,Center,73,19.5,1.2,8.8,2013,East
342,Rafi Menco,Celtics,Center,76,19.6,8,2.9,2015,East
343,Elgin Baylor,Bulls,Forward,33,30,7.3,12.1,2016,East
344,Paul George,Celtics,Guard,24,8.5,4.1,8.3,2015,East
345,Pau Gasol,Bulls,Guard,54,27.1,3.8,13.3,2016,East
346,Serge Ibaka,Warriors,Center,77,10.4,6.8,12.8,2015,West
347,Ricky Rubio,Spurs,Center,51,5.6,9.3,12.2,2012,West
348,Tyrese Maxey,Spurs,Guard,74,6.9,3.9,9.5,2012,West
349,Shahar Lazar,Spurs,Guard,68,22.9,5.7,6.2,2012,West
350,Shai Gilgeous-Alexander,Bulls,Guard,19,16.7,9.4,4.1,2016,East
